Folie;Dicke [um];Messzeit [min];Winkel [deg];Counts;Rate [1/s]
Gold;2;1;0;;16,60
Gold;2;1;0;;16,45
Gold;2;1;0;;15,53
Gold;2;1;0;;17,02
Gold;2;5;30;12;0,04
Gold;2;1;0;;17,12
Gold;2;1;0;;16,52
Gold;2;1;0;;16,98
Gold;2;1;0;;17,12
Gold;2;1;10;;1,62
Gold;2;1;10;;1,60
Gold;2;1;10;;2,12
Gold;2;1;5;;11,58
Gold;2;1;5;;11,20
Gold;2;1;5;;10,20
Gold;2;1;15;;0,58
Gold;2;1;15;;0,48
Gold;2;1;15;;0,40
Gold;2;5;15;128;0,4266666
Gold;2;5;20;44;0,1466666
Gold;2;5;25;8;0,0266666
Gold;2;5;30;6;0,02
Gold;2;10;35;10;0,016666666
Gold;2;10;40;5;0,008333333
Gold;2;10;45;3;0,005
Gold;2;10;50;1;0,0016666
Gold;2;10;55;3;0,005